Sentence,Response,SpanishLevel
"Hello, how are you today?","I'm fine, gracias for asking.",1
"Can you tell me where is the biblioteca?","The library is down the street on the left.",2
"I need to comprar some groceries today.","What do you need to buy from the store?",2
"Do you know what tiempo it is?","It's three o'clock in the afternoon.",2
"I really enjoyed that película last night.","Yes, the movie was great! Which part did you like most?",3
"Could you pass me that libro, por favor?","Here's the book you asked for.",3
"My amigo and I are going to the beach tomorrow.","That sounds fun! Which beach will you visit?",3
"Buenos días! Do you want some coffee?","Good morning! Yes, I would love some coffee, thank you.",4
"I need to practice mi español more often.","You're doing well! Let's practice juntos sometime.",4
"Hola! How was your día at work?","It was busy but productive, gracias por preguntar.",5
"Me gusta this restaurant because the food is delicious.","Yo también! Their tacos are especially buenos.",5
"Can you ayudarme with this homework, please?","Claro, I'm happy to help you with your tarea.",5
"Necesito to buy a new phone este fin de semana.","There are good ofertas at the mall right now.",6
"El concierto last night was increíble!","Sí, the band played muy bien, I loved it!",6
"Vamos to the park esta tarde?","Sounds good! Llevaré some snacks for the picnic.",6
"Mi hermano says hola and wants to know cuando vienes.","Tell him I'll visit next domingo if that works.",7
"No puedo find my keys, have you seen them?","Están on the table next to your wallet.",7
"Estoy learning to cook comida mexicana.","That's great! Deberías try making enchiladas.",7
"Por favor help me entender this problema de matemáticas.","Claro que sí, the solution requires using esta fórmula.",8
"Mañana voy to visit my abuela in the hospital.","Espero que she feels better soon. ¿Necesitas company?",8
"¿Has visto my new coche that I bought ayer?","Sí, es very nice! Me gusta el color mucho.",8
"Tengo que finish this trabajo before el viernes.","No te preocupes, I can help you terminarlo.",8
"¿Qué piensas about the movie we saw anoche?","Me pareció fantastic! The ending was unexpected.",9
"Necesito practicar my English pero it's difícil sometimes.","You're doing well! Solo necesitas more practice.",9
"Me encantaría visit that museum when I go to New York.","Es amazing! You should plan at least tres horas there.",9
"¿Puedes explicarme how this app works?","Claro, primero you need to create an account, then...",9
"Estoy muy excited porque voy a España next month!","¡Qué bueno! You're going to love la comida there.",9
"No entiendo why people don't recycle más.","Es verdad. We should all cuidar mejor our planet.",9
"Buenos días! Did you sleep bien?","Sí, dormí very well, gracias for asking!",10
"¿Podrías ayudarme with these groceries, por favor?","Por supuesto! Let me take algunas bolsas for you.",10
"Vamos a la playa tomorrow if hace buen tiempo.","¡Excelente idea! I'll bring mi traje de baño.",10
"Necesito estudiar para mi exam de history mañana.","Te puedo help if you want. Tengo buenos apuntes.",10
"Mi abuela always hace the best tamales for Christmas.","¡Qué rico! Las abuelas always tienen las mejores recetas.",10
"Do you know any good restaurants nearby?","Yes, there's a bueno Mexican place around the corner.",1
"I heard you started learning Spanish recently.","Sí, it's been interesting so far.",1
"The weather is beautiful today, isn't it?","Yes, it's perfecto for a walk in the park.",1
"What time does the meeting start tomorrow?","La reunión begins at 9 AM sharp.",2
"I lost my phone somewhere in the house.","Did you check debajo de the couch?",2
"Have you tried the new café downtown?","Yes, their pasteles are amazing!",2
"This book is really interesting.","What's it sobre? I might read it too.",2
"Could you help me with directions?","Sí, where are you trying to go?",3
"I need to finish this project by Friday.","Don't worry, you have tiempo suficiente.",3
"My car broke down on the highway.","Qué terrible! Did you call for assistance?",3
"How was your vacation last week?","It was increíble! The beaches were beautiful.",3
